Analyser,Date,Time,Sample No.,Order Type,WBC(10^9/L),RBC(10^12/L),HGB(g/L),HCT(L/L),MCV(fL),MCH(pg),MCHC(g/L),PLT(10^9/L),RDW-SD(fL),RDW-CV(%),PDW(fL),MPV(fL),P-LCR(%),PCT(%),NRBC#(10^9/L),NRBC%(%),NEUT#(10^9/L),LYMPH#(10^9/L),MONO#(10^9/L),EO#(10^9/L),BASO#(10^9/L),NEUT%(%),LYMPH%(%),MONO%(%),EO%(%),BASO%(%),IG#(10^9/L),IG%(%),RET%(%),RET#(10^9/L),IRF(%),LFR(%),MFR(%),HFR(%),RET-He(pg),[PLT-I(10^9/L)],MicroR(%),MacroR(%),[TNC(10^9/L)],[WBC-N(10^9/L)],[TNC-N(10^9/L)],[BA-N#(10^9/L)],[BA-N%(%)],[WBC-D(10^9/L)],[TNC-D(10^9/L)],[NEUT#&(10^9/L)],[NEUT%&(%)],[LYMP#&(10^9/L)],[LYMP%&(%)],[HFLC#(10^9/L)],[HFLC%(%)],[BA-D#(10^9/L)],[BA-D%(%)],[NE-SSC(ch)],[NE-SFL(ch)],[NE-FSC(ch)],[LY-X(ch)],[LY-Y(ch)],[LY-Z(ch)],[MO-X(ch)],[MO-Y(ch)],[MO-Z(ch)],[NE-WX],[NE-WY],[NE-WZ],[LY-WX],[LY-WY],[LY-WZ],[MO-WX],[MO-WY],[MO-WZ],[RBC-O(10^12/L)],[PLT-O(10^9/L)],RBC-He(pg),Delta-He(pg),[RET-Y(ch)],[RET-RBC-Y(ch)],[IRF-Y(ch)],[FRC#(10^12/L)],[FRC%(%)],HYPO-He(%),HYPER-He(%),[RPI],[RET-UPP],[RET-TNC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[HGB-O(g/L)],[HGB-O/M],,,,,,,[Delta-HGB(g/L)],[Delta-HGB/M],[MCHC-O(g/L)],[MCHC-O/M],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP SUS(PLT)Giant Platelet?,Q-Flag(Giant Platelet?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CELLPACK DCL,SULFOLYSER,Lysercell WNR,Fluorocell WNR,Lysercell WDF,Fluorocell WDF,CELLPACK DFL,Fluorocell RET,,,,,,,Priority Code
XN2,12/02/2021,01:40:11,           QC-10061101,Initial,3.07,2.27,58,0.169,74.4,25.6,343,99,48.9,18.5,6.6,8.3,8.9,0.08,0.13,4.2,1.12,1.08,0.44,0.28,0.15,36.5,35.2,14.3,9.1,4.9,0.3,9.8,6.15,139.6,26.8,73.2,23.2,3.6,25.3,99,19.2,2,3.2,3.07,3.2,0.15,4.9,3.17,3.17,0.82,26.7,0.91,29.7,0.17,5.5,0.14,4.6,171.6,102.9,116.8,86.8,70.3,89.9,114.6,83.1,89.4,321,680,791,671,612,712,384,1155,984,2.4,101,27.4,-2.1,149.7,157.5,147.4,0.0438,1.93,1.4,0.2,1,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,5,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0919,D0015,D0031,D0017   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN2,12/02/2021,01:40:54,           QC-10061102,Initial,6.8,4.3,124,0.359,83.5,28.8,345,254,43.7,14.5,7.3,8.3,7.1,0.21,0.45,6.6,2.83,1.97,0.93,0.74,0.33,41.5,29,13.7,10.9,4.9,0.7,10.3,2.3,98.9,33.5,66.5,29,4.5,26.2,254,3.7,4.1,7.25,6.8,7.25,0.33,4.9,7.32,7.32,2.13,31.2,1.64,24.1,0.33,4.9,0.4,5.9,169.6,93.4,125,87.1,63.2,96.7,129.9,112.2,105,360,674,769,732,775,652,354,749,695,4.31,241,30.6,-4.4,153,169.1,149.9,0.0077,0.18,0.3,0.4,1.3,47,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,1,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0919,D0015,D0031,D0017   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN3,12/02/2021,01:52:23,           QC-10061101,Initial,2.93,2.23,57,0.167,74.9,25.6,341,96,48.9,18.2,6.7,8.6,7.9,0.08,0.13,4.4,1.09,0.94,0.47,0.3,0.13,37.3,32.1,16,10.2,4.4,0.28,9.6,5.83,130,25.6,74.4,21.9,3.7,24.6,96,17.3,2.2,3.06,2.93,3.06,0.13,4.4,3.04,3.04,0.81,27.7,0.79,27,0.15,5.1,0.15,5.1,171.7,103.4,116.1,85.5,70.3,92.9,115.8,82.9,97.4,338,687,812,656,625,743,380,1122,852,2.26,102,27.9,-3.3,151.8,159.6,150.4,0.0613,2.75,1.3,0.2,0.9,50,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,2,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0017   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN3,12/02/2021,01:53:07,           QC-10061102,Initial,6.65,4.19,122,0.353,84.2,29.1,346,247,43.9,14.5,7,8.7,8.4,0.21,0.41,6.2,2.86,1.93,0.88,0.65,0.33,43,29,13.2,9.8,5,0.73,11,2.28,95.5,36.7,63.3,30.9,5.8,25.6,247,3.2,3.7,7.06,6.65,7.06,0.33,5,6.84,6.84,2.13,32,1.63,24.5,0.3,4.5,0.35,5.3,170.4,93.1,125.4,87,62.4,97.8,129.5,114.3,104.9,352,709,787,717,706,614,371,717,706,4.13,257,31.3,-5.7,155.9,171.4,153.8,0.0087,0.21,0.3,0.4,1.2,49,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,0,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN3,12/02/2021,01:57:51,           QC-10061102,Initial,6.72,4.18,123,0.351,84,29.4,350,237,44.1,14.5,6.8,8.6,7.7,0.2,0.4,6,2.8,2.08,0.76,0.75,0.33,41.6,31,11.3,11.2,4.9,0.72,10.7,2.23,93.2,35.7,64.3,30.8,4.9,25.7,237,3.3,3.8,7.12,6.72,7.12,0.33,4.9,6.83,6.83,2.08,30.9,1.75,26.1,0.33,4.9,0.36,5.4,170.8,92.9,125.3,89.3,63.9,95.4,133.2,113,109.9,340,711,738,744,720,682,308,743,837,4.07,238,31.4,-5.7,156.4,171.6,154.2,0.0041,0.1,0.2,0.5,1.2,51,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,----,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN3,12/02/2021,02:41:06,           QC-10061102,Initial,6.96,4.35,127,0.369,84.8,29.2,344,238,43.3,14.1,6.9,8.5,7.2,0.2,0.47,6.8,3.07,1.99,0.89,0.67,0.34,44.1,28.6,12.8,9.6,4.9,0.78,11.2,2.22,96.6,38.3,61.7,34.2,4.1,25.4,238,2.6,3.9,7.43,6.96,7.43,0.34,4.9,7.19,7.19,2.29,32.9,1.66,23.9,0.33,4.7,0.44,6.3,170.4,95.4,123.2,87.2,63.6,95,130.1,118.2,104.7,323,682,669,754,739,663,346,1040,659,4.19,251,31.1,-5.7,155,170.7,154.6,0.0139,0.32,0.3,0.4,1.3,42,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,4,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN3,12/02/2021,14:24:17,           QC-10051103,Manual,15.77,5.32,165,0.479,90,31,344,544,46.3,14.2,7.8,8.5,8.3,0.46,1.02,6.5,7.42,3.51,2.1,1.96,0.78,47.1,22.3,13.3,12.4,4.9,1.92,12.2,1.36,72.4,29.1,70.9,25,4.1,26,544,1.5,4.6,16.79,15.77,16.79,0.78,4.9,16.25,16.25,5.5,34.9,2.9,18.4,0.61,3.9,0.97,6.2,171.3,89.1,121.8,86.6,61.5,95.5,131.1,112.2,103.4,339,730,864,716,796,681,358,972,861,5.11,544,32.9,-6.9,157.5,176.2,153.1,0.0212,0.4,0.3,0.7,1.7,28,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,6,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN3,12/02/2021,14:25:21,           QC-10061102,Manual,7.12,4.36,128,0.374,85.8,29.4,342,246,44,14.2,7,8.7,8.7,0.21,0.45,6.3,3.03,2,1.04,0.7,0.35,42.6,28.1,14.6,9.8,4.9,0.81,11.4,2.25,98.1,35.3,64.7,30.1,5.2,25.3,246,2.3,3.9,7.57,7.12,7.57,0.35,4.9,7.06,7.06,2.22,31.2,1.66,23.3,0.34,4.8,0.38,5.3,170.6,93.9,124.7,86.1,62.8,96.9,128.7,115.4,102.4,334,692,838,748,780,588,381,876,859,4.15,244,31.3,-6,154.6,171.3,153.1,0.0148,0.34,0.4,0.5,1.4,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,2,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN2,12/02/2021,14:29:57,           QC-10061102,Manual,7.17,4.36,129,0.372,85.3,29.6,347,243,44.1,14.4,7.2,8.2,6.4,0.2,0.43,6,3.07,1.93,1.03,0.79,0.35,42.8,26.9,14.4,11,4.9,0.79,11,2.19,95.5,32.4,67.6,28.6,3.8,26.1,243,2.9,4.3,7.6,7.17,7.6,0.35,4.9,7.4,7.4,2.28,31.8,1.63,22.7,0.3,4.2,0.44,6.1,170.3,94.6,122.8,85.5,63.6,95.7,128.1,115,101.7,341,729,700,726,661,648,383,852,747,4.41,252,30.8,-4.7,152.9,169.5,150.6,0.0069,0.16,0.3,0.5,1.3,50,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,----,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
XN2,12/02/2021,14:32:42,           QC-10051103,Manual,15.81,5.29,168,0.474,89.6,31.8,354,546,46.7,14.7,7.6,8.2,6.7,0.45,0.93,5.9,7.63,3.57,2.03,1.83,0.75,48.3,22.6,12.8,11.6,4.7,1.99,12.6,1.35,71.4,26.7,73.3,22.7,4,26.3,546,1.7,5.1,16.74,15.81,16.74,0.75,4.7,16.78,16.78,5.64,35.7,3.01,19.1,0.56,3.5,0.98,6.2,170,90,121.4,85.6,62.5,95.8,129,113.7,100.4,335,689,864,737,848,720,388,844,787,5.27,552,32.3,-6,153.3,174.5,151.8,0.0137,0.26,0.3,0.7,1.6,27,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,2,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0918,D0015,D0031,D0015   ,D0024,D0021   ,A0026,D0013   ,,,,,,,
